#scala t = 250ns, V = 1 V
#t (ns)     vin (V)     vout (V)
2080        4.44        3.60
2000        4.32        3.48
1750        3.80        2.96
1500        3.28        2.48
1250        2.72        1.96
1000        2.20        1.48
750         1.68        1.00
500         1.12        0.48
#
#scala t = 100ns, V = 0.2 V
700         1.54        0.872
600         1.35        0.680
500         1.14        0.488
400         0.920       0.304
300         0.696       0.128
200         0.472       0.016
#
#scala t = 50ns, V = 0.05 V
150         0.346       0.004
100         0.234       0
50          0.118       0
