#scala t = 250ns, V = 1 V
#t (ns)     vin (V)     vout (V)
#2000        4.68        4.08
1750        4.12        3.56
1500        3.56        3.00
1250        3.00        2.44
1000        2.40        1.84
750         1.82        1.28
500         1.24        0.72
#
#scala t = 100ns, V = 0.2 V
400         0.976       0.480
300         0.752       0.256
50          0.112       0.000
80          0.192       0.000
150         0.392       0.024
250         0.632       0.168
200         0.512       0.072
100         0.248       0.000
#
#scala t = 50ns, V = 0.05 V
#150         0.346       0.004
#100         0.234       0
#50          0.118       0
