//tempo (minuti) Pressione (mbar * 10^-3) Potenziometro  Resistenza contatti (ohm) 	
// fs = 200 ohm
//resistenza interna 0.9 ohm già sottratta dall'ultima colonna
20.0 0.00044 164.00 128.00 1 0 0.39 0.78
25.0 0.00037 141.00 95.60 1 0 0.33 0.65
30.0 0.00032 122.00 66.90 1 0 0.31 0.59
35.0 2.3e-05 99.10 37.00 1 0 0.28 0.86
40.0 1.6e-05 81.10 32.90 1 0 0.25 1.03
45.0 8.1e-06 68.80 32.00 1 0 0.26 1.08
50.0 6.1e-06 58.00 31.50 1 0 0.25 1.11
55.0 4.2e-06 53.40 31.00 1 0 0.26 1.15
65.0 2.5e-06 48.10 30.50 1 0 0.28 1.18
75.0 1.9e-06 46.40 31.00 1 0 0.29 1.15
85.0 1.8e-06 45.20 30.50 1 0 0.29 1.18
95.0 1.7e-06 44.60 30.00 1 0 0.30 1.22
115.0 1.5e-06 43.40 30.00 1 0 0.31 1.22
